assignment_index,label_seed,cv_r2,in_sample_r2,pearson_label_hz_outcome
0,20260718,-0.0021567974836895765,0.004047403045795095,0.06217290034784483
1,20260719,0.0007466578744580454,0.008746275492853561,0.018832374019356907
2,20260720,-0.002171938610192159,0.0024445232085661406,0.0074498446838684226
3,20260721,-0.0061254790611391385,0.0006395334111378714,-0.012515885215948992
4,20260722,-0.0042219309341728906,0.00400115260385181,0.05713383071720298
5,20260723,-0.002728713357368795,0.0029484012997638143,0.024487710391196255
6,20260724,-0.0012566817787904583,0.0038818686302437566,0.026571986655699646
7,20260725,-0.005673277324076409,0.0002662616815769514,0.0020844677971597384
8,20260726,-0.005699229773364456,0.0032154830571042847,-0.045523771599768365
9,20260727,-0.010204929216971692,0.0006126054305193307,-0.005481046518499616
10,20260728,-0.0019896677178330435,0.003361660288910495,0.048836393042857126
11,20260729,0.003017873495775647,0.011085116692182484,0.03088227872849773
12,20260730,0.0023666838762017584,0.007864513419789998,0.057678384549544506
13,20260731,-0.00857352791864785,0.002164668514283763,0.02329234431335851
14,20260732,-0.007070776053755834,0.0012809173719445788,0.018931114412756512
15,20260733,-0.010127891233330244,0.0006551294699456145,-0.0065393642647473185
16,20260734,-0.005160889254834267,0.0014173737932918762,-0.005079404843810107
17,20260735,-0.004208601090716746,0.001486474913640956,0.033009575837962504
18,20260736,-0.0072193277189736005,0.0018017710207974824,0.02959353628032905
19,20260737,-0.0046429955975195725,0.0019528092230830518,0.012202699367252004
20,20260738,-0.0035923781791646903,0.0009415218778801027,0.010268230033811986
21,20260739,-0.00988312768186983,0.0007452162051969635,0.001853906403242218
22,20260740,-0.002547630265185674,0.002435740120818375,-0.03521275457594588
23,20260741,-0.010351165010253238,0.0008500159714802669,-0.027868586574169074
24,20260742,-0.008508348973125024,0.0027640157167968527,-0.004053752751476938
25,20260743,-0.003772838691437075,0.002186757803055661,-0.006648120658222048
26,20260744,-0.0025903437854972733,0.003616147010547799,0.031118313756037057
27,20260745,-0.0029670557099015227,0.00359776900545139,0.04371076193283714
28,20260746,-0.007985865582280649,0.0047364047358401384,-0.018200547088661045
29,20260747,-0.0026020898599652398,0.0015760262958229854,-0.03096723827709041
30,20260748,-0.005648166875880101,0.0027086070683954855,0.04085604468087141
31,20260749,-0.0029888493425553886,0.0018427477708500284,0.006316287684564737
32,20260750,-0.003236489792782127,0.000355883469043472,-0.009328389171238526
33,20260751,-0.0023782453949803273,0.004494757537927496,-0.017371516452221035
34,20260752,-0.004266047369281489,0.004103021069244095,0.048108258178405625
35,20260753,-5.755280695085574e-05,0.004508223682956447,0.007005452820552595
36,20260754,-0.0008619851609705798,0.004946119873786348,-0.0038788975537417695
37,20260755,-0.008951010959229233,0.0011356941850678703,0.019156542959912957
38,20260756,-0.0009437940083047991,0.003382315416944337,-0.00833445307748341
39,20260757,-0.00543732471584768,0.00020732285556324115,-0.006077032111340935
40,20260758,-0.003631843877263563,0.000548534759679975,-0.006683576689019868
41,20260759,-0.006724239724888781,0.0017163015040932983,-0.020975014562230256
42,20260760,0.00552868133642348,0.009252013002169046,0.031524576227719966
43,20260761,-0.0026981731373187934,0.002632569376471494,-0.04606965363017777
44,20260762,-0.011024063017879282,0.0005740127029280062,0.0024492213593293663
45,20260763,-0.005470130628967063,0.0019672570190932825,0.03730193840017587
46,20260764,-0.0008613827114347661,0.005781354543161532,-0.055339833616893055
47,20260765,-0.005197137800006191,0.004420436639487879,0.027741734548768084
48,20260766,-0.006573444334925016,0.003772949367196188,-0.03659871182101242
49,20260767,-0.00550286450104065,0.0002504335218793674,0.0038796029447074032
50,20260768,-0.004148558101809474,0.0010450230092741153,0.0012668270706838302
51,20260769,-0.0023980116780775163,0.010010116082334486,-0.03585754215574948
52,20260770,-0.005945991801923789,0.0018378957462609202,-0.006800765908882086
53,20260771,0.0017636381046369776,0.008208916861233262,0.006584700410635445
54,20260772,-0.007573428108839542,0.0015454174454809788,-0.02197082437731952
55,20260773,0.0026921359009645096,0.0051719406574060045,0.025895296988072622
56,20260774,9.9220876683348e-05,0.004159252655301704,-0.031122435513807088
57,20260775,-0.01244201036065129,0.0008956682882359512,-0.021441047726302856
58,20260776,-0.006769412723687029,0.0009225707327642496,0.014831416883182087
59,20260777,-0.005069797453701508,0.004101630665192202,0.04224356160533842
60,20260778,-0.0006538997925187306,0.004098278114030296,0.004406826544949434
61,20260779,-0.002352901361629023,0.0015208833458605353,-0.003982307692515963
62,20260780,-0.010988409495732876,0.0005817181937535221,0.008222998837736802
63,20260781,-0.01088858745675969,0.0007540384963203861,-0.021968909903418408
64,20260782,0.0030003100481807987,0.005997830633887036,0.06008510280839955
65,20260783,-0.007699072910319682,0.0005196175429744709,-0.005370646400708721
66,20260784,-0.01028211996448336,0.004123686088804979,0.05375535355614342
67,20260785,-0.0034817031586587,0.0012066834322805864,0.003987985800584826
68,20260786,-0.004945178797280292,0.0016063191737586413,0.022947460440698036
69,20260787,-0.00653011013689353,0.0005321320722462275,-0.01529787027647956
70,20260788,-0.007220100433488863,0.0007284163961012169,-0.0256618530349263
71,20260789,-0.004449671987993398,0.007398289132054647,0.07986901201109742
72,20260790,0.000206506466542411,0.007137921532382241,-0.07265211326035838
73,20260791,-0.011564572316887345,0.0007746494154824424,0.004238934738849487
74,20260792,-0.004027376247957459,0.005224179805030316,-0.06696018512016731
75,20260793,-3.636856107513964e-05,0.0038094918199906846,0.06116669700866154
76,20260794,0.0019650161845968794,0.007706263832355287,0.047029184312033116
77,20260795,-0.0032746104851044677,0.0016853202622354457,-0.02408044715249831
78,20260796,-0.007428132418851208,0.0003633179691502342,-0.002508453529557483
79,20260797,-0.0016446455891847567,0.002556966426792151,-0.00915163059521587
80,20260798,-0.004661687401967596,0.0004692362198367439,-0.0067117184292491295
81,20260799,0.002684799492278067,0.007506746566105615,-0.024859578727785877
82,20260800,-0.0038011987293493643,0.0016152658941535059,0.027956528984675873
83,20260801,-0.012962034865981575,0.00028783624574624245,0.012201433523004375
84,20260802,-0.0003390402826690675,0.0031965300846276135,-0.03207063983619731
