axis,axis_value,K,N,dt,burn_time,sample_time,seed,mean_r,sd_r,samples
N,256,0.80000000000000004,256,0.01,240,160,31415,0.33412652033324308,0.065179041511861199,3200
N,512,0.80000000000000004,512,0.01,240,160,1729,0.26132292611454205,0.084760772280722665,3200
N,512,0.80000000000000004,512,0.01,240,160,2718,0.31987936142918211,0.048504348055836054,3200
N,512,0.80000000000000004,512,0.01,240,160,31415,0.28933337158014427,0.074987303442131878,3200
N,1024,0.80000000000000004,1024,0.01,240,160,1729,0.28364597857957974,0.062481263113741713,3200
N,1024,0.80000000000000004,1024,0.01,240,160,2718,0.33213309267429869,0.033638047682658691,3200
N,1024,0.80000000000000004,1024,0.01,240,160,31415,0.27058302103693044,0.03231026981557187,3200
dt,0.040000000000000001,3.4500000000000002,512,0.040000000000000001,240,160,1729,0.90066500429863583,0.0073056279835920206,800
dt,0.040000000000000001,3.4500000000000002,512,0.040000000000000001,240,160,2718,0.90093161126865373,0.0075504574491348586,800
dt,0.040000000000000001,3.4500000000000002,512,0.040000000000000001,240,160,31415,0.90075639827797205,0.0076587417267081357,800
dt,0.02,3.4500000000000002,512,0.02,240,160,1729,0.9022178034871432,0.0074909224074659478,1600
dt,0.02,3.4500000000000002,512,0.02,240,160,2718,0.90279222160374262,0.0072823533734942495,1600
dt,0.02,3.4500000000000002,512,0.02,240,160,31415,0.90185255762041994,0.0074529897243864251,1600
dt,0.01,3.4500000000000002,512,0.01,240,160,1729,0.90321211217937758,0.0072187104818778984,3200
dt,0.01,3.4500000000000002,512,0.01,240,160,2718,0.90297332369827488,0.0074067832427937626,3200
dt,0.01,3.4500000000000002,512,0.01,240,160,31415,0.902935185186721,0.0071572970666590151,3200
dt,0.0050000000000000001,3.4500000000000002,512,0.0050000000000000001,240,160,1729,0.90365514998667407,0.0076241351384013977,6400
dt,0.0050000000000000001,3.4500000000000002,512,0.0050000000000000001,240,160,2718,0.90371934203535598,0.0072549642606293489,6400
dt,0.0050000000000000001,3.4500000000000002,512,0.0050000000000000001,240,160,31415,0.90370008042121119,0.0073683147475818713,6400
N,256,3.4500000000000002,256,0.01,240,160,1729,0.90349745099541734,0.010294650278789307,3200
N,256,3.4500000000000002,256,0.01,240,160,2718,0.90352391761365014,0.010707658053646969,3200
N,256,3.4500000000000002,256,0.01,240,160,31415,0.90266974378858023,0.011044404130524444,3200
N,512,3.4500000000000002,512,0.01,240,160,1729,0.90321211217937758,0.0072187104818778984,3200
N,512,3.4500000000000002,512,0.01,240,160,2718,0.90297332369827488,0.0074067832427937626,3200
N,512,3.4500000000000002,512,0.01,240,160,31415,0.902935185186721,0.0071572970666590151,3200
N,1024,3.4500000000000002,1024,0.01,240,160,1729,0.90330149034845908,0.0052435770710060354,3200
N,1024,3.4500000000000002,1024,0.01,240,160,2718,0.90312438354470193,0.0050401819075712581,3200
N,1024,3.4500000000000002,1024,0.01,240,160,31415,0.90283589649910956,0.0052627432079851355,3200
