agent_id,seed,K,gamma,D,global_mean_r,intrinsic_omega,abs_intrinsic_omega,mean_local_alignment
0,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-1.3779572974589365,1.3779572974589365,0.021400308829245415
1,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.11777225241542068,0.11777225241542068,0.88284932486972012
2,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.046149673804235007,0.046149673804235007,0.91464272632015153
3,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.10853087064304211,0.10853087064304211,0.88092561733767338
4,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.3753967593888568,0.3753967593888568,0.7214794888178947
5,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.22869115376876206,0.22869115376876206,0.8583473644348818
6,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.50240848843283614,0.50240848843283614,0.59068380213057059
7,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,9.5845715694395768,9.5845715694395768,-0.0035783193444057768
8,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.16209757735346411,0.16209757735346411,0.89819177489781665
9,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-162.97453389434841,162.97453389434841,-0.00090024965698661907
10,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.81069033649336197,0.81069033649336197,0.11651150049335035
11,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.5062970552694841,0.5062970552694841,0.4302260607031837
12,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.0898842603786352,0.0898842603786352,0.87017562944814708
13,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,5.253283771214349,5.253283771214349,0.0060274133725217831
14,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.1253591344435698,0.1253591344435698,0.90869122670545732
15,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.015744067399639669,0.015744067399639669,0.90374438169120719
16,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.0011504937125958073,0.0011504937125958073,0.90788611973580846
17,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.15884855238633425,0.15884855238633425,0.87324833359160936
18,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.21632121955126851,0.21632121955126851,0.83228013163480996
19,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.93110803831266697,0.93110803831266697,0.11731528671134969
20,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.91983064608564646,0.91983064608564646,0.084312192284306656
21,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.38557022887340714,0.38557022887340714,0.65546724242303067
22,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.22037738687132585,0.22037738687132585,0.8369567917605808
23,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.89802259697578379,0.89802259697578379,0.081508936817855884
24,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.057349136098508537,0.057349136098508537,0.90454163648949015
25,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.44608604551596182,0.44608604551596182,0.5366316681047858
26,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,6.032646730900562,6.032646730900562,0.0047779622240271295
27,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.30943537435835783,0.30943537435835783,0.74117131608707676
28,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.039045934790803739,0.039045934790803739,0.86157828893436361
29,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.40993644890030873,0.40993644890030873,0.68548487393624968
30,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.16101029598165442,0.16101029598165442,0.87952031365646488
31,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,1.3092365031116684,1.3092365031116684,-0.0012697988485263719
32,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.12825209176336846,0.12825209176336846,0.88146838721158405
33,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.27329434903807437,0.27329434903807437,0.73968421179933896
34,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.17895406391270674,0.17895406391270674,0.84061922974200043
35,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.89802259697578379,0.89802259697578379,0.050896499185315781
36,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.055736682373974653,0.055736682373974653,0.90666992914997224
37,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.025785031745450934,0.025785031745450934,0.90963316774747882
38,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.43352448212131928,0.43352448212131928,0.61165569626838845
39,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-1.8621373855108754,1.8621373855108754,0.0067623441972099732
40,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-1.2083244099444159,1.2083244099444159,0.045853182505225118
41,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,2.5788409745934353,2.5788409745934353,0.012321415850983397
42,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.099532495724821868,0.099532495724821868,0.89753759308626258
43,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.39613624675791498,0.39613624675791498,0.57434511875950423
44,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-1.2272901744175095,1.2272901744175095,0.028608206511991072
45,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,0.19945798921087182,0.19945798921087182,0.90137906186309391
46,424242,1.1000000000000001,0.25,0.12,0.6198033292001639,-0.038260608761146522,0.038260608761146522,0.92278896518627374
