policy,omega_scale,K,D,effective_gamma,Kc,K_over_Kc,N,dt,burn_time,sample_time,seed,mean_r,sd_r,samples
no_change,1,0.59999999999999998,0.12,0.25,0.73999999999999999,0.81081081081081074,512,0.01,240,160,1729,0.079854166572904561,0.040241394422710124,3200
no_change,1,0.59999999999999998,0.12,0.25,0.73999999999999999,0.81081081081081074,512,0.01,240,160,2718,0.073828932219413682,0.036642954408687166,3200
no_change,1,0.59999999999999998,0.12,0.25,0.73999999999999999,0.81081081081081074,512,0.01,240,160,31415,0.081174923678764638,0.041927920463615653,3200
pure_generator_slowdown,0.5,0.29999999999999999,0.059999999999999998,0.125,0.37,0.81081081081081074,512,0.02,480,320,1729,0.079854166572904561,0.040241394422710124,3200
pure_generator_slowdown,0.5,0.29999999999999999,0.059999999999999998,0.125,0.37,0.81081081081081074,512,0.02,480,320,2718,0.073828932219413682,0.036642954408687166,3200
pure_generator_slowdown,0.5,0.29999999999999999,0.059999999999999998,0.125,0.37,0.81081081081081074,512,0.02,480,320,31415,0.081174923678764638,0.041927920463615653,3200
frequency_narrowing_only,0.5,0.59999999999999998,0.12,0.125,0.48999999999999999,1.2244897959183674,512,0.01,240,160,1729,0.48950725045674559,0.03534160285113741,3200
frequency_narrowing_only,0.5,0.59999999999999998,0.12,0.125,0.48999999999999999,1.2244897959183674,512,0.01,240,160,2718,0.51687726954955682,0.040117206844631131,3200
frequency_narrowing_only,0.5,0.59999999999999998,0.12,0.125,0.48999999999999999,1.2244897959183674,512,0.01,240,160,31415,0.48059629379211705,0.041443160319557679,3200
